Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,2437809170,,,,2437809170,,978497373,,,6
H5,2018,2018,2018,4,0,1,Import,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,3972060124,,,,3972060124,,2091982495,,,6
H5,2019,2019,2019,4,0,1,Import,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,7231865815,,,,7231865815,,3484835315,,,6
H5,2020,2020,2020,4,0,1,Import,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,4313749500,,,,4313749500,,1414729807,,,0
H5,2021,2021,2021,4,0,1,Import,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,10571261280,,,,10571261280,,4842682345,,,0
H5,2017,2017,2017,4,0,1,Import,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,6528293798,,,,6528293798,,7011624831,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,12009304,,,,12009304,,16499372,,,6
H5,2017,2017,2017,4,0,3,Re-Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,109882,,,,109882,,114863,,,6
H5,2018,2018,2018,4,0,1,Import,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,7005951581,,,,7005951581,,8562124471,,,6
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,9099430,,,,9099430,,14352938,,,6
H5,2018,2018,2018,4,0,3,Re-Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,78470,,,,78470,,116922,,,6
H5,2019,2019,2019,4,0,1,Import,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,8755958103,,,,8755958103,,10204065872,,,6
H5,2019,2019,2019,4,0,2,Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,10804019,,,,10804019,,14950253,,,6
H5,2019,2019,2019,4,0,3,Re-Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,21276,,,,21276,,27555,,,6
H5,2020,2020,2020,4,0,1,Import,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,28048712364,,,,28048712364,,8007551252,,,0
H5,2020,2020,2020,4,0,2,Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,8923513,,,,8923513,,15579446,,,0
H5,2021,2021,2021,4,0,1,Import,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,29136623251,,,,29136623251,,13210843772,,,0
H5,2021,2021,2021,4,0,2,Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,5424947,,,,5424947,,14166235,,,0
H5,2021,2021,2021,4,0,3,Re-Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8,Weight in kilograms,3272,,,,3272,,26936,,,0
